"elementName", "elementContent", "typeAttributeIfPresent"
"persName", "François", "fictif"
"persName", "Suzette", "fictif"
"persName", "Charlot", "fictif"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "Charlot", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Jacques", "fictif"
"persName", "M. Valon", "fictif"
"persName", "François", "fictif"
"persName", "Charlot", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "François", "fictif"
"persName", "Charlot", "fictif"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "Suzette", "fictif"
"persName", "Charlot", "fictif"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "François", "fictif"
"persName", "Dagobert", "historique"
"persName", "Eloi", "historique"
"persName", "Dagobert", "historique"
"placeName", "Austrasie", ""
"persName", "Clotaire II", "historique"
"placeName", "Neustrie", ""
"placeName", "France", ""
"placeName", "Aquitaine", ""
"persName", "Charibert", "historique"
"persName", "Dagobert", "historique"
"placeName", "abbaye de Saint-Denis", ""
"persName", "Eloi", "historique"
"placeName", "Noyon", ""
"persName", "Dagobert", "historique"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "Suzette", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "Jacques", "fictif"
"persName", "Charlot", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "Jacques", "fictif"
"persName", "Suzette", "fictif"
"persName", "Jacques", "fictif"
"persName", "Le père", "fictif"
"persName", "Suzette", "fictif"
"persName", "Charlot", "fictif"
"persName", "Charlot", "fictif"
"persName", "Jacques", "fictif"
"persName", "François", "fictif"
"persName", "le père", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Jacques", "fictif"
"persName", "François", "fictif"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "François", "fictif"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "Charlot", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Charlot", "fictif"
"persName", "François", "fictif"
"persName", "Suzette", "fictif"
"placeName", "Paris", ""
"placeName", "Rouen", ""
"placeName", "Nantes", ""
"placeName", "Reims", ""
"placeName", "Marseille", ""
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"placeName", "Saint-Quentin", ""
"persName", "Suzette", "fictif"
"persName", "Denis Dumay", "fictif"
"persName", "Ludivine", "fictif"
"persName", "Vincent", "fictif"
"persName", "Baptiste Gardinet", "fictif"
"persName", "Pierre Colas", "fictif"
"persName", "Florentin Lejoly", "fictif"
"persName", "Morisot", "fictif"
"placeName", "Cambrai", ""
"placeName", "Paris", ""
"persName", "M. Dumay", "fictif"
"placeName", "chaussée Brunehaut", ""
"persName", "Ludivine", "fictif"
"persName", "Florentin Lejoly", "fictif"
"persName", "Ludivine", "fictif"
"persName", "Suzette", "fictif"
"persName", "Ludivine", "fictif"
"persName", "Florentin Lejoly", "fictif"
"placeName", "France", ""
"placeName", "Austrasie", ""
"placeName", "Austrasie", ""
"placeName", "France", ""
"persName", "Brunehaut", "historique"
"placeName", "Fragicourt", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "Florentin Lejoly", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "Ludivine", "fictif"
"persName", "Lejoly", "fictif"
"persName", "Ludivine", "fictif"
"persName", "Suzette", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "M.Dumay", "fictif"
"persName", "Fénelon", "historique"
"placeName", "Cambrai", ""
"persName", "Brunehaut", "historique"
"persName", "Galswinthe", "historique"
"persName", "Brunehaut", "historique"
"placeName", "Espagne", ""
"persName", "Sigebert", "historique"
"placeName", "Austrasie", ""
"persName", "Galswinthe", "historique"
"persName", "Chilpéric", "historique"
"persName", "Frédégonde", "historique"
"persName", "Chilpéric", "historique"
"persName", "Brunehaut", "historique"
"persName", "Clovis II", "historique"
"placeName", "Neustrie", ""
"persName", "Brunehaut", "historique"
"placeName", "France", ""
"persName", "Eponine", "historique"
"persName", "Sabinus", "historique"
"persName", "sainte Geneviève", "historique"
"persName", "Attila", "historique"
"persName", "Clotilde", "historique"
"persName", "Clovis", "historique"
"placeName", "Saint-Quentin", ""
"persName", "M. Dumay", "fictif"
"persName", "Ludivine", "fictif"
"placeName", "Hôtel de ville de Saint-Quentin", ""
"placeName", "Amérique", ""
"placeName", "Amérique", ""
"persName", "Florentin Lejoly", "fictif"
"persName", "Herbert IV de Vermandois", "historique"
"placeName", "Vermandois", ""
"placeName", " Vermandois", ""
"placeName", "Saint-Quentin", ""
"persName", "Jacques", "fictif"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "comte Herbert IV", "historique"
"persName", "Adèle de Vermandois", "historique"
"placeName", "Beffroi de Douai", ""
"placeName", "Fragicourt", "fictif"
"placeName", "hôtel de ville de Saint-Quentin", ""
"persName", "Ludivine", "fictif"
"persName", "Lejoly", "fictif"
"placeName", "Saint-Quentin", ""
"placeName", "hôtel de ville", ""
"placeName", "beffroi", ""
"placeName", "hôtel de ville", ""
"placeName", "Égypte", ""
"placeName", "cathédrale de Saint-Denis", ""
"placeName", "Notre-Dame de Paris", ""
"placeName", "Sainte-Chapelle", ""
"persName", "François", "fictif"
"persName", "Charlot", "fictif"
"persName", "Charlot", "fictif"
"persName", "Jacques", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "Suzette", "fictif"
"persName", "Charlot", "fictif"
"persName", "Charlot", "fictif"
"persName", "Suzette", "fictif"
"persName", "Charlot", "fictif"
"placeName", "Tourcoing", ""
"placeName", "Roubaix", ""
"placeName", "Reims", ""
"placeName", "Sedan", ""
"placeName", "Etats-Unis", ""
"placeName", "Inde", ""
"placeName", "Egypte", ""
"placeName", "Algérie", ""
"placeName", "Nord", ""
"placeName", "Seine-Inférieure", ""
"persName", "Mme Valon", "fictif"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "Charlot", "fictif"
"persName", "Jacques", "fictif"
"persName", "Suzette", "fictif"
"persName", "Charlot", "fictif"
"persName", "Suzette", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Madame ", "fictif"
"persName", "Madame", "fictif"
"persName", "Suzette", "fictif"
"persName", "Madame", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Madame", "fictif"
"persName", "Suzette", "fictif"
"persName", "Charlot", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"placeName", "Espagne", ""
"placeName", "Rambouillet", ""
"placeName", "France", "réel"
"placeName", "Europe", ""
"placeName", "États-Unis", ""
"placeName", "Égypte", ""
"placeName", "Hindoustan", ""
"placeName", "Algérie", ""
"placeName", "Europe", ""
"placeName", "Europe", ""
"placeName", "France", ""
"placeName", "France", ""
"placeName", "Elbeuf", ""
"placeName", "Louviers", ""
"placeName", "Sedan", ""
"placeName", "Mazamet", ""
"placeName", "Castres", ""
"placeName", "Roubaix", ""
"placeName", "Tourcoing", ""
"placeName", "Amiens", ""
"placeName", "Troyes", ""
"placeName", "Lodève", ""
"placeName", "&gt;Rethel", ""
"placeName", "Privas", ""
"placeName", "Carcassonne", ""
"placeName", "Orléans", ""
"placeName", "Tours", ""
"placeName", "Beauvais", ""
"placeName", "Aubusson", ""
"placeName", "Puteaux", ""
"placeName", "Rouen", ""
"placeName", "Reims", ""
"placeName", "Chantilly", ""
"placeName", "Saint-Omer", ""
"placeName", "Arras", ""
"placeName", "Armentières", ""
"placeName", "Épinal", ""
"geogFeat", "Moselle", "rivière"
"placeName", "Lavaur", ""
"placeName", "Valence", ""
"placeName", "Grenoble", ""
"placeName", "Le Puy", ""
"placeName", "Roanne", ""
"placeName", "Laval", ""
"placeName", "Cholet", ""
"placeName", "Le Mans", ""
"placeName", "Angers", ""
"placeName", "Condé-sur- Noireau", ""
"placeName", "Flers", ""
"placeName", "Lisieux", ""
"placeName", "Bernay", ""
"placeName", "Cambrai", ""
"persName", "Suzette", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"placeName", "Reims", ""
"placeName", "Reims", ""
"placeName", "Roubaix", ""
"persName", "Madame", "fictif"
"persName", "Mme Valon", "fictif"
"placeName", "Elbeuf", ""
"placeName", "Lodève", ""
"placeName", "Sedan", ""
"placeName", "Cambrai", ""
"placeName", "Lisieux", ""
"placeName", "Lyon", ""
"placeName", "Alençon", ""
"placeName", "Valenciennes", ""
"placeName", "Bayonne", ""
"placeName", "Châtellerault", ""
"placeName", "Saint-Étienne", ""
"placeName", "France", ""
"placeName", "Aix-la-Chapelle", ""
"placeName", "Aix-la-Chapelle", ""
"placeName", "Allemagne", ""
"placeName", "Belgique", ""
"persName", "Charlemagne", "historique"
"placeName", "Lyon", ""
"placeName", "Saint-Denis", ""
"persName", "Charles le Chauve", "historique"
"placeName", "Beaucaire", ""
"placeName", "Provins", ""
"placeName", "Troyes", ""
"placeName", "Saint-Quentin", ""
"persName", "Suzette", "fictif"
"persName", "Charlot", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Suzette", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Suzette", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"placeName", "Reims", ""
"placeName", "France", ""
"placeName", "Chine", ""
"placeName", "Japon", ""
"placeName", "France", ""
"placeName", "Reims", ""
"placeName", "Marne", ""
"placeName", "Champagne", ""
"placeName", "Roubaix", ""
"placeName", "Nord", ""
"placeName", "Flandre", ""
"placeName", "Elbeuf", ""
"placeName", "Seine-Inférieure", ""
"placeName", "Normandie", ""
"persName", "Suzette", "fictif"
"persName", "Benoît", "fictif"
"persName", "Ludivine", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "père Benoît", "fictif"
"persName", "Jacques Dumay", "fictif"
"persName", "M. Valon", "fictif"
"persName", "M. Valon", "fictif"
"persName", "François", "fictif"
"persName", "Charlot", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "Jacques", "fictif"
"persName", "Jacques", "fictif"
"persName", "Suzette", "fictif"
"persName", "M. Valon", "fictif"
"persName", "Jacques", "fictif"
"persName", "Suzette", "fictif"
"persName", "Jacques", "fictif"
"persName", "M. Valon", "fictif"
"persName", "François", "fictif"
"persName", "Charlot", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "Jacques", "fictif"
"persName", "M. Valon", "fictif"
"persName", "Jacques", "fictif"
"placeName", "Roubaix", ""
"placeName", "Bordeaux", ""
"placeName", "Paris", ""
"placeName", "Paris", ""
"placeName", "Bordeaux", ""
"placeName", "Midi", ""
"placeName", "Bordeaux", ""
"placeName", "Bordeaux", ""
"persName", "Suzette", "fictif"
"persName", "Jacques", "fictif"
"persName", "Suzette", "fictif"
"persName", "Jacques", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "Jacques", "fictif"
"persName", "Suzette", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "Jacques", "fictif"
"persName", "Denis", "fictif"
"persName", "Jacques", "fictif"
"persName", "Charlot", "fictif"
"persName", "Suzette", "fictif"
"persName", "Jacques", "fictif"
"persName", "Suzette", "fictif"
"persName", "Jacques", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "Suzette", "fictif"
"persName", "Jacques", "fictif"
"persName", "Suzette", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "M. Dumay", "fictif"
"placeName", "Paraclet", ""
"placeName", "Avre", ""
"geogFeat", "Avre", "fleuve"
"placeName", "Moye", ""
"geogFeat", "Moye", "fleuve"
"placeName", "Fragicourt", "fictif"
"persName", "Suzette", "fictif"
"persName", "Olivier de Serres", "historique"
"persName", "Henri IV", "historique"
"placeName", "Paraclet", ""
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "Charlot", "fictif"
"persName", "JACQUES DUMAY", "fictif"
"persName", "Jacques", "fictif"
"placeName", "Paraclet", ""
"persName", "Jacques", "fictif"
"persName", "Olivier de Serres", "historique"
"persName", "Jacques", "fictif"
"persName", "François", "fictif"
"persName", "Jacques", "fictif"
"persName", "Suzette", "fictif"
"persName", "Charlot", "fictif"
"persName", "François", "fictif"
"persName", "François", "fictif"
"persName", "François", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "Castor", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "François", "fictif"
"persName", "Charlot", "fictif"
"persName", "Charlot", "fictif"
"persName", "François", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "François", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "François", "fictif"
"placeName", "France", ""
"placeName", "Montmorency", ""
"placeName", "Auxerre", ""
"persName", "Ludivine", "fictif"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "Ludivine", "fictif"
"persName", "Ludivine", "fictif"
"persName", "Denis", "fictif"
"persName", "Ludivine", "fictif"
"persName", "François", "fictif"
"persName", "Ludivine", "fictif"
"persName", "Plectrude", "fictif"
"persName", "Jean-Marie", "fictif"
"persName", "Morisot", "fictif"
"persName", "François", "fictif"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "Suzette", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "François", "fictif"
"persName", "Ludivine", "fictif"
"persName", "Galilée", "historique"
"persName", "Franklin", "historique"
"persName", "François", "fictif"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
